node,x-coord,y-coord,distFromCenter
0,22.0477,5.96457,19.263
1,33.493,25.8926,8.53977
2,15.7743,17.0286,12.1925
3,40.582,5.5468,24.9244
4,25.6945,9.25604,15.7593
5,38.8781,24.8927,13.8785
6,13.0049,25.37,12.0008
7,16.1896,30.3061,10.2848
8,39.5093,8.05685,22.3067
9,15.9068,32.2336,11.6194
10,38.7316,25.3375,13.7358
11,13.2195,18.2552,13.5747
12,28.7427,16.2332,9.53228
13,36.2578,17.9708,13.272
14,40.1731,22.4732,15.3821
15,36.234,34.2613,14.5593
16,4.88846,20.3305,20.6465
17,38.8168,35.5247,17.3687
18,35.0898,38.0516,16.4969
19,47.2314,23.6191,22.2743
20,38.2877,36.5583,17.6113
21,25.8406,22.391,2.74108
22,32.5581,18.3983,10.0353
23,32.5953,8.51018,18.155
24,25.9281,24.8972,0.933746
25,3.8207,21.4475,21.4752
26,14.369,21.9125,11.0702
27,5.53959,6.27987,27.0028
28,13.2312,13.2632,16.621
29,33.1546,6.5339,20.1865
30,40.0096,25.5492,15.0196
31,24.3266,39.9148,14.93
32,23.1261,40.4546,15.5678
33,42.9932,11.6621,22.3977
34,20.4214,34.8221,10.8369
35,9.60666,22.4823,15.5979
36,27.9814,18.5151,7.13741
37,10.2895,16.163,17.1607
38,15.0259,21.1144,10.7042
39,22.5457,31.7569,7.18879
40,35.382,35.9465,15.0868
41,39.9237,17.5805,16.6663
42,28.5935,14.6789,10.9288
43,39.3604,19.842,15.2586
44,34.6439,14.0494,14.5918
45,34.729,25.4856,9.74111
46,25.501,24.9891,0.501071
47,28.1739,27.3708,3.96163
48,14.2642,19.9335,11.8713
49,42.001,6.43336,25.1745
50,7.31156,19.4832,18.5288
51,36.305,32.3269,13.4717
52,18.7257,17.8446,9.51659
53,33.4648,30.1635,9.9154
54,25.5599,26.3176,1.43168
55,27.0847,37.638,12.8088
56,9.3067,9.49331,22.0621
57,32.2603,8.31658,18.1947
58,45.0569,9.41704,25.399
59,39.0625,29.2772,14.6986
60,30.4913,12.672,13.4957
61,12.3646,27.6212,12.9044
62,27.1257,30.5343,5.92847
63,21.9081,32.5014,8.11363
64,24.5664,17.0001,8.01166
65,27.4317,45.3828,20.5273
66,18.9916,24.5622,6.02438
67,30.6627,31.2131,8.40648
68,15.889,20.1321,10.3299
69,30.4177,26.6836,5.67323
70,24.6989,28.6208,3.63331
71,39.6343,19.6893,15.5681
72,40.1858,43.9483,24.2826
73,40.5233,10.4723,21.2609
74,22.7727,7.36908,17.771
75,10.0845,26.3332,14.975
76,38.8991,19.4054,14.9828
77,43.3576,33.9767,20.4348
78,10.6019,48.2539,27.3505
79,41.5377,5.27835,25.7379
80,19.9522,39.0221,14.903
81,15.272,20.8475,10.5772
82,24.0991,35.9192,10.9563
83,24.6255,43.2774,18.2812
84,34.7361,12.8126,15.5989
85,17.1518,18.7222,10.0501
86,14.5895,33.7694,13.6118
87,33.1448,16.6608,11.6567
88,8.56138,15.776,18.8497
89,36.4093,32.501,13.6542
90,33.2943,33.6362,11.9741
91,35.4907,38.0131,16.7152
92,17.041,12.6473,14.6947
93,11.7566,31.617,14.8044
94,32.6744,35.4885,12.9963
95,12.9333,19.2317,13.3746
96,14.4982,23.7521,10.5757
97,33.6154,33.6003,12.1733
98,24.4576,38.0093,13.0206
99,25.2971,29.4824,4.49222
Average Dist From Center: 14.0817
