node,x-coord,y-coord,distFromCenter
0,40.4348,40.4348,21.8281
1,27.5,47.3008,22.4405
2,32.5,22.5,7.90569
3,45.2221,9.77791,25.311
4,12.3982,37.3982,17.6783
5,8.7391,27.5,16.452
6,37.5074,17.4926,14.5876
7,2.5,46.2955,30.9798
8,12.5,8.25383,20.897
9,8.06162,38.0616,21.3896
10,13.7418,13.7418,15.9216
11,13.0649,16.9351,14.4045
12,2.5,37.5,25.7391
13,22.5,12.5,12.7475
14,42.5,32.5,19.0394
15,37.5,12.5,17.6777
16,32.1255,42.1255,18.5487
17,29.4061,20.5939,6.2311
18,32.5,40.2877,17.0283
19,47.5,5.75525,29.6076
20,21.943,37.5,12.8684
21,27.5,6.74229,18.4281
22,2.5,47.5,31.8198
23,22.5,22.5,3.53553
24,2.5,44.2339,29.6005
25,17.1458,2.5,23.8315
26,33.0399,28.0399,8.59543
27,19.9406,42.5,18.2167
28,34.0147,2.5,24.2387
29,25.8503,25.8503,1.20244
30,32.5,21.4877,8.28169
31,40.3256,4.6744,25.4559
32,47.5,32.5,23.7171
33,37.5,27.5,12.7475
34,15.9496,15.9496,12.7991
35,22.5,4.87507,20.2796
36,47.5,37.5,25.7391
37,6.44418,18.5558,19.643
38,47.4603,37.5,25.7044
39,37.5,32.5,14.5774
40,14.9821,30.0179,11.2044
41,47.5,12.5,25.7391
42,22.5,27.5,3.53553
43,47.5,32.5,23.7171
44,8.57884,41.4212,23.223
45,17.5,43.3126,19.7889
46,2.5,27.5,22.6385
47,37.5,25.2601,12.5027
48,42.5,17.5,19.0394
49,12.6117,27.6117,12.6606
50,27.2139,17.5,7.81994
51,32.5,2.5,23.7171
52,47.5,25.0235,22.5
53,37.0581,2.94192,25.1387
54,42.6421,12.6421,21.5398
55,9.78644,47.5,27.1607
56,31.9626,33.0374,10.6338
57,27.5,32.5,7.90569
58,8.83379,22.5,16.3584
59,3.086,18.086,22.9788
60,2.5,12.5,25.7391
61,33.8909,27.5,9.23568
62,37.5,3.49086,24.8776
63,31.9528,8.0472,18.3232
64,30.8943,30.8943,8.33574
65,7.5,32.5,19.0394
66,5.54206,45.5421,28.2947
67,7.01973,12.9803,21.6279
68,23.3406,36.6594,11.7769
69,32.5,12.5,14.5774
70,17.5,27.5,7.90569
71,16.1689,6.16891,20.799
72,15.7942,32.5,11.8742
73,47.5,20.0202,23.0445
74,2.5,32.5,23.7171
75,23.1599,18.1599,7.08329
76,17.5,7.5,19.0394
77,44.5974,39.5974,24.4364
78,17.5,2.5,23.7171
79,27.5,2.5,22.6385
80,43.1812,22.5,18.3523
81,37.5,45.087,23.6588
82,2.5,17.5,23.7171
83,17.5,37.5,14.5774
84,12.5,7.5,21.5058
85,42.5,17.5,19.0394
86,43.077,47.5,28.8622
87,46.4759,3.52411,30.3715
88,4.55037,20.4496,20.9498
89,27.5,47.5,22.6385
90,11.7411,41.7411,21.3556
91,17.5,22.5,7.90569
92,20.1936,14.8064,11.2699
93,35.2642,47.5,24.7306
94,39.3587,10.6413,20.3063
95,43.3102,3.31022,28.385
96,15.5299,20.5299,10.4721
97,2.5,37.9501,25.9606
98,42.5,27.5,17.6777
99,35.7904,15.7904,14.1862
Average Dist From Center: 18.695
